ticker,time,price,mtg_date
VGSH,2020-12-16 14:59:00,61.583385332,2020-12-16 14:00:00
VGSH,2020-12-16 14:58:00,61.5796114751,2020-12-16 14:00:00
VGSH,2020-12-16 14:57:00,61.5784197309,2020-12-16 14:00:00
VGSH,2020-12-16 14:56:00,61.5784197309,2020-12-16 14:00:00
VGSH,2020-12-16 14:55:00,61.5784197309,2020-12-16 14:00:00
VGSH,2020-12-16 14:54:00,61.5784197309,2020-12-16 14:00:00
VGSH,2020-12-16 14:53:00,61.5784197309,2020-12-16 14:00:00
VGSH,2020-12-16 14:52:00,61.5784197309,2020-12-16 14:00:00
VGSH,2020-12-16 14:51:00,61.5784197309,2020-12-16 14:00:00
VGSH,2020-12-16 14:50:00,61.583385332,2020-12-16 14:00:00
VGSH,2020-12-16 14:49:00,61.5784197309,2020-12-16 14:00:00
VGSH,2020-12-16 14:48:00,61.5784197309,2020-12-16 14:00:00
VGSH,2020-12-16 14:47:00,61.5784197309,2020-12-16 14:00:00
VGSH,2020-12-16 14:46:00,61.5784197309,2020-12-16 14:00:00
VGSH,2020-12-16 14:45:00,61.5784197309,2020-12-16 14:00:00
VGSH,2020-12-16 14:44:00,61.5784197309,2020-12-16 14:00:00
VGSH,2020-12-16 14:43:00,61.5784197309,2020-12-16 14:00:00
VGSH,2020-12-16 14:42:00,61.5784197309,2020-12-16 14:00:00
VGSH,2020-12-16 14:41:00,61.5784197309,2020-12-16 14:00:00
VGSH,2020-12-16 14:40:00,61.583385332,2020-12-16 14:00:00
VGSH,2020-12-16 14:39:00,61.5734541297,2020-12-16 14:00:00
VGSH,2020-12-16 14:38:00,61.5784197309,2020-12-16 14:00:00
VGSH,2020-12-16 14:37:00,61.5784197309,2020-12-16 14:00:00
VGSH,2020-12-16 14:36:00,61.5784197309,2020-12-16 14:00:00
VGSH,2020-12-16 14:35:00,61.5784197309,2020-12-16 14:00:00
VGSH,2020-12-16 14:34:00,61.5784197309,2020-12-16 14:00:00
VGSH,2020-12-16 14:33:00,61.5784197309,2020-12-16 14:00:00
VGSH,2020-12-16 14:32:00,61.5784197309,2020-12-16 14:00:00
VGSH,2020-12-16 14:31:00,61.5734541297,2020-12-16 14:00:00
VGSH,2020-12-16 14:30:00,61.5734541297,2020-12-16 14:00:00
VGSH,2020-12-16 14:29:00,61.5784197309,2020-12-16 14:00:00
VGSH,2020-12-16 14:28:00,61.5734541297,2020-12-16 14:00:00
VGSH,2020-12-16 14:27:00,61.5784197309,2020-12-16 14:00:00
VGSH,2020-12-16 14:26:00,61.5784197309,2020-12-16 14:00:00
VGSH,2020-12-16 14:25:00,61.5784197309,2020-12-16 14:00:00
VGSH,2020-12-16 14:24:00,61.5784197309,2020-12-16 14:00:00
VGSH,2020-12-16 14:23:00,61.5813990916,2020-12-16 14:00:00
VGSH,2020-12-16 14:22:00,61.5784197309,2020-12-16 14:00:00
VGSH,2020-12-16 14:21:00,61.5784197309,2020-12-16 14:00:00
VGSH,2020-12-16 14:20:00,61.5784197309,2020-12-16 14:00:00
VGSH,2020-12-16 14:19:00,61.5784197309,2020-12-16 14:00:00
VGSH,2020-12-16 14:18:00,61.5784197309,2020-12-16 14:00:00
VGSH,2020-12-16 14:17:00,61.5784197309,2020-12-16 14:00:00
VGSH,2020-12-16 14:16:00,61.5784197309,2020-12-16 14:00:00
VGSH,2020-12-16 14:15:00,61.5784197309,2020-12-16 14:00:00
VGSH,2020-12-16 14:14:00,61.5784197309,2020-12-16 14:00:00
VGSH,2020-12-16 14:13:00,61.5784197309,2020-12-16 14:00:00
VGSH,2020-12-16 14:12:00,61.5784197309,2020-12-16 14:00:00
VGSH,2020-12-16 14:11:00,61.583385332,2020-12-16 14:00:00
VGSH,2020-12-16 14:10:00,61.5784197309,2020-12-16 14:00:00
VGSH,2020-12-16 14:09:00,61.5784197309,2020-12-16 14:00:00
VGSH,2020-12-16 14:08:00,61.5784197309,2020-12-16 14:00:00
VGSH,2020-12-16 14:07:00,61.5784197309,2020-12-16 14:00:00
VGSH,2020-12-16 14:06:00,61.5784197309,2020-12-16 14:00:00
VGSH,2020-12-16 14:05:00,61.5805052833,2020-12-16 14:00:00
VGSH,2020-12-16 14:04:00,61.583385332,2020-12-16 14:00:00
VGSH,2020-12-16 14:03:00,61.5784197309,2020-12-16 14:00:00
VGSH,2020-12-16 14:02:00,61.5784197309,2020-12-16 14:00:00
VGSH,2020-12-16 14:01:00,61.583385332,2020-12-16 14:00:00
VGSH,2020-12-16 14:00:00,61.5933165343,2020-12-16 14:00:00
VGSH,2020-12-16 13:59:00,61.583385332,2020-12-16 14:00:00
VGSH,2020-12-16 13:58:00,61.5885495572,2020-12-16 14:00:00
VGSH,2020-12-16 13:57:00,61.5883509331,2020-12-16 14:00:00
